Total_date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
2019-11-15,,,,,1006649.0,,
2019-11-16,,,,,,784745.0,
2019-11-17,,,,,,,666196.0
2019-11-18,844785.0,,,,,,
2019-11-19,,875345.0,,,,,
2019-11-20,,,923790.0,,,,
2019-11-21,,,,826092.0,,,
2019-11-22,,,,,982851.0,,
2019-11-23,,,,,,802003.0,
2019-11-24,,,,,,,704113.0
2019-11-25,806101.0,,,,,,
2019-11-26,,777190.0,,,,,
2019-11-27,,,885819.0,,,,
2019-11-28,,,,941384.0,,,
2019-11-29,,,,,997949.0,,
2019-11-30,,,,,,779345.0,
2019-12-01,,,,,,,546495.0
2019-12-02,749690.0,,,,,,
2019-12-03,,808277.0,,,,,
2019-12-04,,,855511.0,,,,
2019-12-05,,,,919269.0,,,
2019-12-06,,,,,974729.0,,
2019-12-07,,,,,,852666.0,
2019-12-08,,,,,,,720321.0
2019-12-09,790868.0,,,,,,
2019-12-10,,855754.0,,,,,
2019-12-11,,,881085.0,,,,
2019-12-12,,,,912221.0,,,
2019-12-13,,,,,987362.0,,
2019-12-14,,,,,,813339.0,
2019-12-15,,,,,,,714535.0
2019-12-16,872395.0,,,,,,
2019-12-17,,899134.0,,,,,
2019-12-18,,,866384.0,,,,
2019-12-19,,,,949898.0,,,
2019-12-20,,,,,743775.0,,
2019-12-21,,,,,,747902.0,
2019-12-22,,,,,,,743645.0
2019-12-23,879107.0,,,,,,
2019-12-24,,812729.0,,,,,
2019-12-25,,,526177.0,,,,
2019-12-26,,,,856341.0,,,
2019-12-27,,,,,796947.0,,
2019-12-28,,,,,,707433.0,
2019-12-29,,,,,,,661813.0
2019-12-30,534883.0,,,,,,
2019-12-31,,950487.0,,,,,
2020-01-01,,,710047.0,,,,
2020-01-02,,,,761505.0,,,
2020-01-03,,,,,706476.0,,
2020-01-04,,,,,,638730.0,
2020-01-05,,,,,,,509848.0
2020-01-06,674972.0,,,,,,
2020-01-07,,757060.0,,,,,
2020-01-08,,,848374.0,,,,
2020-01-09,,,,795312.0,,,
2020-01-10,,,,,765037.0,,
2020-01-11,,,,,,678899.0,
2020-01-12,,,,,,,594960.0
2020-01-13,776131.0,,,,,,
2020-01-14,,732120.0,,,,,
2020-01-15,,,678680.0,,,,
